account_id,customer_id,account_no,account_type,base_ccy,status,opened_dt
1,1,ACC0000001,MARGIN,USD,OPEN,2022-01-31
2,2,ACC0000002,401K,USD,OPEN,2018-10-14
3,3,ACC0000003,IRA,USD,OPEN,2021-07-09
4,3,ACC0000004,CASH,USD,OPEN,2021-05-15
5,4,ACC0000005,IRA,USD,OPEN,2022-07-31
6,5,ACC0000006,IRA,USD,OPEN,2022-07-07
7,6,ACC0000007,IRA,USD,OPEN,2024-03-20
8,6,ACC0000008,MARGIN,USD,OPEN,2020-02-25
9,7,ACC0000009,401K,USD,OPEN,2022-04-02
10,8,ACC0000010,MARGIN,USD,OPEN,2024-05-20
11,9,ACC0000011,IRA,USD,OPEN,2022-07-22
12,9,ACC0000012,CASH,USD,OPEN,2021-05-29
13,10,ACC0000013,IRA,USD,OPEN,2020-05-10
14,11,ACC0000014,401K,USD,OPEN,2024-07-03
15,12,ACC0000015,IRA,USD,OPEN,2023-03-20
16,12,ACC0000016,401K,USD,OPEN,2022-12-17
17,13,ACC0000017,MARGIN,USD,OPEN,2023-09-25
18,14,ACC0000018,401K,USD,OPEN,2019-11-27
19,15,ACC0000019,CASH,USD,OPEN,2021-03-08
20,15,ACC0000020,IRA,USD,OPEN,2019-01-18
21,16,ACC0000021,MARGIN,USD,OPEN,2021-06-25
22,17,ACC0000022,MARGIN,USD,OPEN,2020-03-26
23,18,ACC0000023,MARGIN,USD,OPEN,2018-04-11
24,18,ACC0000024,CASH,USD,OPEN,2020-09-29
25,19,ACC0000025,401K,USD,OPEN,2018-10-26
26,20,ACC0000026,401K,USD,OPEN,2022-08-25
27,21,ACC0000027,MARGIN,USD,OPEN,2022-04-22
28,21,ACC0000028,401K,USD,OPEN,2022-06-25
29,22,ACC0000029,MARGIN,USD,OPEN,2019-08-28
30,23,ACC0000030,CASH,USD,OPEN,2019-03-13
31,24,ACC0000031,401K,USD,OPEN,2020-06-15
32,24,ACC0000032,MARGIN,USD,OPEN,2023-10-23
33,25,ACC0000033,401K,USD,OPEN,2018-07-25
34,26,ACC0000034,MARGIN,USD,OPEN,2019-05-13
35,27,ACC0000035,401K,USD,OPEN,2019-07-01
36,27,ACC0000036,401K,USD,OPEN,2023-12-16
37,28,ACC0000037,IRA,USD,OPEN,2022-12-18
38,29,ACC0000038,401K,USD,OPEN,2024-02-23
39,30,ACC0000039,401K,USD,OPEN,2019-10-14
40,30,ACC0000040,401K,USD,OPEN,2023-01-18
41,31,ACC0000041,IRA,USD,OPEN,2020-10-09
42,32,ACC0000042,IRA,USD,OPEN,2023-11-06
43,33,ACC0000043,401K,USD,OPEN,2020-09-06
44,33,ACC0000044,IRA,USD,OPEN,2022-12-07
45,34,ACC0000045,CASH,USD,OPEN,2021-03-16
46,35,ACC0000046,MARGIN,USD,OPEN,2021-01-17
47,36,ACC0000047,IRA,USD,OPEN,2021-08-02
48,36,ACC0000048,CASH,USD,OPEN,2019-07-21
49,37,ACC0000049,MARGIN,USD,OPEN,2020-08-05
50,38,ACC0000050,401K,USD,OPEN,2019-09-18
51,39,ACC0000051,MARGIN,USD,OPEN,2018-09-21
52,39,ACC0000052,401K,USD,OPEN,2022-07-28
53,40,ACC0000053,IRA,USD,OPEN,2024-02-01
54,41,ACC0000054,401K,USD,OPEN,2022-08-31
55,42,ACC0000055,CASH,USD,OPEN,2020-04-27
56,42,ACC0000056,401K,USD,OPEN,2022-05-15
57,43,ACC0000057,CASH,USD,OPEN,2024-06-16
58,44,ACC0000058,401K,USD,OPEN,2023-05-08
59,45,ACC0000059,CASH,USD,OPEN,2021-12-11
60,45,ACC0000060,IRA,USD,OPEN,2022-05-17
61,46,ACC0000061,401K,USD,OPEN,2024-01-14
62,47,ACC0000062,MARGIN,USD,OPEN,2023-06-23
63,48,ACC0000063,MARGIN,USD,OPEN,2021-01-22
64,48,ACC0000064,401K,USD,OPEN,2023-06-13
65,49,ACC0000065,CASH,USD,OPEN,2022-05-12
